Index, X, Y, Disparity
1298, 1076.44, 1419.73, 121.76
1299, 801.47, 765.75, 81.83
1300, 447.33, 1915.45, 126.41
1301, 976.43, 1349.76, 115.72
1302, 138.72, 1721.69, 129.22
1303, 448.75, 1104.79, 91.71
1304, 945.82, 1657.07, -47.10
1305, 830.66, 836.84, 86.15
1306, 127.50, 611.92, 83.50
1307, 843.50, 1160.42, 100.49
1308, 349.92, 1657.37, 117.51
1309, 513.83, 1868.70, 123.86
1310, 145.62, 587.98, 81.44
1311, 369.75, 1265.67, 100.33
1312, 644.54, 1794.65, 121.04
1313, 976.10, 1344.95, 114.71
1314, 283.05, 1839.14, 127.02
1315, 336.06, 1916.69, 128.45
1316, 439.82, 795.88, 78.82
1317, 457.88, 1891.70, 125.37
1318, 150.41, 1273.84, 109.61
1319, 967.09, 1363.30, 114.29
1320, 888.12, 1167.55, 217.17
1321, 437.73, 1440.57, 106.71
